,distance_from_home,distance_from_last_transaction,ratio_to_median_purchase_price,repeat_retailer,used_chip,used_pin_number,online_order,fraud
754464,108.82639844262394,27.288465489514223,0.5362244030173434,1.0,0.0,0.0,1.0,1.0
453190,34.93750492540341,5.247765720658612,1.554642974975432,1.0,0.0,0.0,0.0,0.0
165472,4.228315183496092,2.675731441103101,2.171190880579603,1.0,0.0,0.0,1.0,0.0
886327,2.2489928136662454,0.6685702403231382,3.298453247125716,1.0,1.0,0.0,1.0,0.0
531244,42.26025336788584,0.8196576423448758,3.268828997782125,1.0,1.0,1.0,1.0,0.0
151799,3.8901091676268447,5.269002230953425,2.8329521480431894,1.0,0.0,0.0,1.0,0.0
998150,2.100998620929311,0.7746971257726605,0.7126920701808012,1.0,0.0,0.0,1.0,0.0
899655,10.34960862706311,0.0696934258104096,4.092086497040096,1.0,0.0,0.0,1.0,1.0
181052,1.1082189722151037,5.966405695497875,0.2011121492735113,0.0,0.0,0.0,1.0,0.0
146808,5.1964076557568255,6.082041974020617,0.5580207031428127,1.0,0.0,1.0,0.0,0.0
605803,0.3141237591633578,5.944869509588902,0.1395836424113518,0.0,0.0,1.0,1.0,0.0
722505,1.4621413126219325,0.3034954740166145,0.3815633422247851,0.0,0.0,0.0,0.0,0.0
832190,2.179718139414372,59.09314478381372,1.1094152840104794,1.0,0.0,0.0,1.0,1.0
802493,8.472499268934653,3.629967953535527,1.5806172260616798,1.0,0.0,0.0,1.0,0.0
542520,4.915824000534122,0.7269917037455227,2.5825485689856387,1.0,0.0,0.0,1.0,0.0
637284,1541.4179406043693,3.2207354666136183,0.1530883857820327,1.0,1.0,0.0,1.0,0.0
239379,144.01449281765494,6.954223659378908,4.9532308867969,1.0,0.0,0.0,1.0,1.0
356653,6.981896418465839,0.3589847829434912,5.078818551581375,1.0,0.0,0.0,0.0,0.0
983775,24.53566242787269,15.987554204087765,1.3916426763794905,1.0,0.0,0.0,1.0,0.0
241364,36.69502303139329,0.0775407007088255,1.540303782214129,1.0,0.0,0.0,1.0,0.0
31558,281.4468224619834,0.0785728499326759,6.636487474181839,1.0,1.0,0.0,1.0,1.0
