,order_id,date,time
0,1,2015-01-01,11:38:36
1,2,2015-01-01,11:57:40
2,3,2015-01-01,12:12:28
3,4,2015-01-01,12:16:31
4,5,2015-01-01,12:21:30
5,7,2015-01-01,12:50:37
6,8,2015-01-01,12:51:37
7,10,2015-01-01,13:00:15
8,14,2015-01-01,13:14:19
9,16,2015-01-01,13:34:07
10,18,2015-01-01,13:57:08
11,19,2015-01-01,13:59:09
12,21,2015-01-01,14:14:29
13,23,2015-01-01,14:19:03
14,26,2015-01-01,14:54:26
15,29,2015-01-01,15:41:01
16,30,2015-01-01,15:41:25
17,31,2015-01-01,15:50:18
18,32,2015-01-01,15:53:18
19,33,2015-01-01,15:54:08
20,36,2015-01-01,16:54:09
21,37,2015-01-01,16:56:09
22,38,2015-01-01,17:03:00
23,40,2015-01-01,17:14:36
24,41,2015-01-01,17:15:20
25,43,2015-01-01,17:38:34
26,44,2015-01-01,17:54:20
27,45,2015-01-01,17:55:48
28,46,2015-01-01,18:25:51
29,52,2015-01-01,18:53:02
30,53,2015-01-01,18:54:17
31,54,2015-01-01,19:01:45
32,56,2015-01-01,19:07:00
33,62,2015-01-01,20:50:16
34,68,2015-01-01,22:07:32
35,69,2015-01-01,22:12:13
36,71,2015-01-02,11:40:50
37,74,2015-01-02,12:01:12
38,77,2015-01-02,12:22:46
39,78,2015-01-02,12:28:14
40,79,2015-01-02,12:29:11
41,80,2015-01-02,12:35:38
42,81,2015-01-02,12:40:01
43,82,2015-01-02,12:45:51
44,83,2015-01-02,12:53:27
45,84,2015-01-02,13:13:41
46,85,2015-01-02,13:34:49
47,87,2015-01-02,14:01:02
48,88,2015-01-02,14:10:08
49,89,2015-01-02,14:30:19
50,92,2015-01-02,15:17:02
51,93,2015-01-02,15:29:31
52,94,2015-01-02,16:17:16
53,95,2015-01-02,16:18:04
54,98,2015-01-02,17:18:18
55,100,2015-01-02,17:46:17
56,101,2015-01-02,17:51:33
57,104,2015-01-02,18:02:12
58,106,2015-01-02,18:12:13
59,111,2015-01-02,18:38:01
60,112,2015-01-02,18:41:40
61,117,2015-01-02,19:23:02
62,118,2015-01-02,19:26:59
63,119,2015-01-02,19:32:29
64,122,2015-01-02,19:50:19
65,123,2015-01-02,20:12:09
66,124,2015-01-02,20:12:34
67,125,2015-01-02,20:31:06
68,126,2015-01-02,20:53:42
69,128,2015-01-02,21:05:06
70,131,2015-01-02,21:33:10
71,133,2015-01-02,22:00:17
72,135,2015-01-02,22:29:34
73,137,2015-01-03,11:34:10
74,139,2015-01-03,11:57:39
75,140,2015-01-03,12:26:44
76,141,2015-01-03,13:16:01
77,144,2015-01-03,13:44:28
78,146,2015-01-03,14:22:10
79,148,2015-01-03,14:40:42
80,149,2015-01-03,14:48:45
81,155,2015-01-03,15:28:59
82,159,2015-01-03,15:59:22
83,161,2015-01-03,16:43:46
84,162,2015-01-03,16:51:22
85,164,2015-01-03,16:56:33
86,166,2015-01-03,16:58:51
87,167,2015-01-03,17:00:49
88,168,2015-01-03,17:02:27
89,169,2015-01-03,17:15:48
90,174,2015-01-03,17:37:49
91,175,2015-01-03,17:50:51
92,176,2015-01-03,17:51:57
93,177,2015-01-03,17:54:36
94,179,2015-01-03,18:20:14
95,181,2015-01-03,18:49:32
96,182,2015-01-03,18:50:10
97,184,2015-01-03,18:59:05
98,185,2015-01-03,19:08:33
99,187,2015-01-03,19:37:12
100,188,2015-01-03,20:08:39
101,189,2015-01-03,20:12:14
102,190,2015-01-03,20:14:23
103,191,2015-01-03,20:24:50
104,196,2015-01-03,21:40:14
105,197,2015-01-03,21:47:48
106,198,2015-01-03,21:55:42
107,199,2015-01-03,22:10:38
108,201,2015-01-03,22:29:59
109,203,2015-01-04,11:30:48
110,204,2015-01-04,11:36:25
111,208,2015-01-04,12:12:05
112,211,2015-01-04,12:54:20
113,212,2015-01-04,13:16:03
114,214,2015-01-04,13:39:16
115,216,2015-01-04,14:31:56
116,217,2015-01-04,14:35:03
117,218,2015-01-04,14:35:11
118,220,2015-01-04,15:31:59
119,222,2015-01-04,15:46:38
120,224,2015-01-04,16:39:58
121,225,2015-01-04,16:41:48
122,226,2015-01-04,16:59:39
123,229,2015-01-04,17:37:57
124,232,2015-01-04,18:21:59
125,233,2015-01-04,18:26:51
126,236,2015-01-04,19:21:04
127,239,2015-01-04,19:57:52
128,240,2015-01-04,20:10:24
129,241,2015-01-04,20:11:25
130,242,2015-01-04,20:15:29
131,245,2015-01-04,20:28:41
132,246,2015-01-04,20:30:48
133,247,2015-01-04,20:55:29
134,248,2015-01-04,20:58:19
135,250,2015-01-04,21:07:05
136,251,2015-01-04,21:10:05
137,253,2015-01-04,22:16:18
138,254,2015-01-04,22:22:13
139,255,2015-01-05,11:23:35
140,256,2015-01-05,11:56:06
141,257,2015-01-05,11:59:04
142,259,2015-01-05,12:04:25
143,260,2015-01-05,12:06:27
144,261,2015-01-05,12:38:29
145,262,2015-01-05,12:42:01
146,263,2015-01-05,12:57:22
147,266,2015-01-05,13:09:29
148,269,2015-01-05,13:49:34
149,270,2015-01-05,14:09:02
150,271,2015-01-05,14:22:19
151,273,2015-01-05,14:28:00
152,274,2015-01-05,14:36:33
153,275,2015-01-05,14:38:14
154,276,2015-01-05,15:18:18
155,277,2015-01-05,15:41:50
156,278,2015-01-05,15:49:21
157,281,2015-01-05,16:33:48
158,282,2015-01-05,16:49:38
159,283,2015-01-05,16:51:43
160,284,2015-01-05,16:58:16
161,286,2015-01-05,17:01:23
162,289,2015-01-05,17:36:23
163,292,2015-01-05,17:48:59
164,293,2015-01-05,17:58:38
165,295,2015-01-05,18:20:12
166,296,2015-01-05,18:46:54
167,298,2015-01-05,19:10:36
168,300,2015-01-05,19:42:54
169,301,2015-01-05,19:45:58
170,302,2015-01-05,19:57:37
171,305,2015-01-05,20:35:40
172,306,2015-01-05,20:37:40
173,308,2015-01-05,21:59:46
174,310,2015-01-06,11:40:48
175,312,2015-01-06,12:05:21
176,313,2015-01-06,12:09:09
177,315,2015-01-06,12:17:40
178,316,2015-01-06,12:29:34
179,317,2015-01-06,12:31:00
180,318,2015-01-06,12:45:14
181,321,2015-01-06,12:56:21
182,322,2015-01-06,13:02:13
183,325,2015-01-06,13:07:32
184,326,2015-01-06,13:10:13
185,329,2015-01-06,13:22:44
186,331,2015-01-06,13:43:30
187,333,2015-01-06,14:16:36
188,335,2015-01-06,14:24:47
189,336,2015-01-06,14:51:41
190,337,2015-01-06,15:03:12
191,338,2015-01-06,15:18:26
192,340,2015-01-06,15:35:32
193,341,2015-01-06,15:35:47
194,342,2015-01-06,15:44:12
195,343,2015-01-06,15:45:37
196,344,2015-01-06,16:01:11
197,346,2015-01-06,16:30:00
198,350,2015-01-06,17:37:05
199,351,2015-01-06,17:37:29
200,353,2015-01-06,17:59:48
201,355,2015-01-06,18:14:45
202,356,2015-01-06,18:16:05
203,357,2015-01-06,18:27:58
204,361,2015-01-06,19:12:38
205,364,2015-01-06,19:27:24
206,365,2015-01-06,19:37:26
207,366,2015-01-06,20:04:20
208,367,2015-01-06,20:05:12
209,368,2015-01-06,20:28:16
210,372,2015-01-06,22:26:59
211,373,2015-01-07,11:45:18
212,376,2015-01-07,12:01:17
213,382,2015-01-07,12:33:07
214,383,2015-01-07,12:43:59
215,384,2015-01-07,12:51:46
216,387,2015-01-07,13:03:14
217,388,2015-01-07,13:04:56
218,389,2015-01-07,13:10:17
219,391,2015-01-07,13:25:31
220,392,2015-01-07,13:36:47
221,395,2015-01-07,14:11:08
222,396,2015-01-07,14:12:21
223,398,2015-01-07,14:56:26
224,401,2015-01-07,16:08:35
225,402,2015-01-07,16:24:46
226,403,2015-01-07,16:26:10
227,404,2015-01-07,16:39:27
228,405,2015-01-07,16:44:16
229,406,2015-01-07,16:50:49
230,407,2015-01-07,16:56:42
231,412,2015-01-07,18:07:46
232,413,2015-01-07,18:11:32
233,414,2015-01-07,18:13:22
234,415,2015-01-07,18:16:23
235,418,2015-01-07,18:40:11
236,419,2015-01-07,19:02:31
237,421,2015-01-07,19:21:58
238,422,2015-01-07,19:30:25
239,424,2015-01-07,20:01:28
240,427,2015-01-07,21:49:00
241,428,2015-01-07,22:05:00
242,429,2015-01-07,22:16:53
243,430,2015-01-07,22:46:13
244,432,2015-01-08,11:39:07
245,433,2015-01-08,11:49:50
246,436,2015-01-08,12:07:21
247,437,2015-01-08,12:07:54
248,439,2015-01-08,12:13:08
249,440,2015-01-08,12:16:34
250,442,2015-01-08,12:28:49
251,446,2015-01-08,12:58:01
252,447,2015-01-08,13:02:00
253,448,2015-01-08,13:03:34
254,449,2015-01-08,13:04:15
255,450,2015-01-08,13:07:53
256,451,2015-01-08,13:19:06
257,452,2015-01-08,13:24:11
258,453,2015-01-08,13:27:14
259,455,2015-01-08,13:39:14
260,456,2015-01-08,13:47:53
261,459,2015-01-08,14:14:02
262,460,2015-01-08,14:19:58
263,463,2015-01-08,14:40:28
264,465,2015-01-08,14:55:23
265,467,2015-01-08,15:33:13
266,471,2015-01-08,16:20:26
267,472,2015-01-08,16:29:50
268,475,2015-01-08,17:15:17
269,476,2015-01-08,17:27:56
270,477,2015-01-08,17:30:04
271,478,2015-01-08,17:35:56
272,479,2015-01-08,17:37:03
273,481,2015-01-08,17:41:37
274,482,2015-01-08,17:52:42
275,489,2015-01-08,18:48:43
276,490,2015-01-08,18:49:24
277,491,2015-01-08,19:01:12
278,492,2015-01-08,19:06:21
279,495,2015-01-08,19:42:52
280,497,2015-01-08,19:49:26
281,499,2015-01-08,21:10:46
282,500,2015-01-08,21:46:49
283,502,2015-01-08,22:26:08
284,504,2015-01-09,11:48:18
285,506,2015-01-09,12:02:09
286,508,2015-01-09,12:13:32
287,509,2015-01-09,12:13:58
288,513,2015-01-09,12:22:48
289,514,2015-01-09,12:26:47
290,515,2015-01-09,13:07:37
291,516,2015-01-09,13:09:09
292,517,2015-01-09,13:09:11
293,518,2015-01-09,13:11:25
294,519,2015-01-09,13:15:20
295,520,2015-01-09,13:22:33
296,522,2015-01-09,14:09:33
297,523,2015-01-09,14:42:14
298,525,2015-01-09,15:08:46
299,527,2015-01-09,15:23:37
300,528,2015-01-09,15:27:21
301,529,2015-01-09,15:31:01
302,533,2015-01-09,16:28:43
303,534,2015-01-09,16:43:32
304,535,2015-01-09,17:08:47
305,538,2015-01-09,17:44:04
306,540,2015-01-09,17:52:41
307,541,2015-01-09,18:07:47
308,545,2015-01-09,18:46:28
309,549,2015-01-09,19:06:34
310,550,2015-01-09,19:12:59
311,555,2015-01-09,20:18:25
312,557,2015-01-09,20:30:06
313,558,2015-01-09,20:51:10
314,559,2015-01-09,21:10:16
315,560,2015-01-09,21:13:48
316,563,2015-01-09,22:19:03
317,565,2015-01-10,12:11:19
318,566,2015-01-10,12:21:19
319,571,2015-01-10,13:14:47
320,576,2015-01-10,13:44:22
321,578,2015-01-10,13:48:49
322,580,2015-01-10,13:56:01
323,581,2015-01-10,14:13:01
324,582,2015-01-10,14:24:14
325,586,2015-01-10,16:09:57
326,587,2015-01-10,16:32:36
327,588,2015-01-10,16:33:36
328,590,2015-01-10,17:23:39
329,591,2015-01-10,17:32:54
330,592,2015-01-10,17:41:55
331,594,2015-01-10,17:50:19
332,597,2015-01-10,18:32:36
333,599,2015-01-10,18:34:27
334,600,2015-01-10,18:53:52
335,605,2015-01-10,19:23:51
336,608,2015-01-10,19:36:33
337,610,2015-01-10,19:51:02
338,614,2015-01-10,20:12:33
339,616,2015-01-10,20:20:10
340,617,2015-01-10,20:27:26
341,621,2015-01-10,20:49:29
342,622,2015-01-10,20:57:41
343,623,2015-01-10,21:21:21
344,625,2015-01-10,21:50:23
345,626,2015-01-10,21:55:12
346,627,2015-01-10,22:18:35
347,629,2015-01-10,22:48:39
348,630,2015-01-11,11:42:08
349,631,2015-01-11,11:44:36
350,632,2015-01-11,11:44:52
351,633,2015-01-11,11:51:45
352,634,2015-01-11,12:14:15
353,637,2015-01-11,12:44:10
354,638,2015-01-11,12:49:26
355,639,2015-01-11,13:23:21
356,642,2015-01-11,13:40:00
357,643,2015-01-11,13:43:19
